Date,USGS,ETAS
1960-01-02,9.302443775695945,46.81155494056894
1960-01-05,6.976832831771958,7.828789316179755
1960-01-11,8.726797502447432,28.78231366242557
1960-01-18,7.759711763389934,7.368272297580948
1960-01-20,11.512925464970227,7.989970272689338
1960-01-23,7.782737614319875,15.588501079569689
1960-01-26,11.282666955670823,15.081932359110997
1960-01-29,7.022884533631839,7.138013788281541
1960-01-31,7.759711763389934,7.598530806880349
1960-02-21,7.368272297580948,15.035880657251115
1960-02-22,15.496397675849929,14.483260234932546
1960-02-24,8.726797502447432,7.598530806880349
1960-02-25,6.907755278982137,7.253143042931243
1960-02-26,7.64458250874023,13.907613961684035
1960-02-28,7.114987937351601,8.312332185708504
1960-03-16,7.4143239994408265,7.483401552230648
1960-03-24,7.713660061530053,9.417573030345647
1960-03-25,14.621415340512188,7.552479105020469
1960-04-02,8.749823353377373,15.450345973990046
1960-04-13,8.404435589428266,7.3452464466510055
1960-04-21,41.9991520962114,6.930781129912077
1960-04-24,8.473513142218088,7.736685912459993
1960-05-08,7.460375701300709,14.966803104461295
1960-05-13,9.210340371976182,9.878090048944456
1960-05-18,15.381268421200225,8.220228781988741
1960-05-23,7.506427403160588,7.322220595721065
1960-06-05,11.305692806600764,8.082073676409099
1960-06-11,9.924141750804337,6.907755278982137
1960-06-28,16.394405862117605,15.910862992588855
1960-07-01,10.223477812893563,30.62438173682081
1960-07-08,7.437349850370767,8.726797502447432
1960-07-14,9.210340371976182,7.575504955950411
1960-08-01,17.660827663264328,7.920892719899517
1960-08-03,7.966944421759397,7.091962086421661
1960-08-09,9.003107713606719,8.61166824779773
1960-08-10,16.578612669557128,8.957056011746836
1960-08-12,8.243254632918683,7.391298148510885
1960-08-16,7.598530806880349,14.414182682142727
1960-08-20,8.841926757097134,7.920892719899517
1960-08-21,8.841926757097134,7.897866868969577
1960-09-01,17.15425894280564,14.20695002377326
1960-10-09,7.897866868969577,16.970052135366117
1960-10-14,7.851815167109696,7.3452464466510055
1960-10-16,7.299194744791124,15.035880657251116
1960-10-18,14.874699700741534,8.381409738498325
1960-10-21,7.161039639211482,9.57875398685523
1960-10-29,14.851673849811593,7.022884533631839
1960-10-31,7.460375701300709,7.667608359670172
1960-11-04,8.749823353377373,15.588501079569689
1960-11-06,7.690634210600113,9.555728135925289
1960-11-08,6.953806980842018,7.506427403160588
1960-11-13,8.012996123619278,7.690634210600113
1960-11-22,7.368272297580948,14.874699700741534
1960-11-25,8.266280483848623,10.223477812893563
1960-11-28,8.03602197454922,7.299194744791124
1960-12-01,23.854781563418314,14.437208533072665
1960-12-20,7.184065490141422,7.460375701300709
1960-12-22,7.184065490141422,9.0491594154666
1960-12-23,6.907755278982137,37.07161999720414
1960-12-30,17.775956917914034,7.4143239994408265
1960-12-31,7.276168893861184,6.999858682701899
1961-01-05,7.598530806880349,8.243254632918683
1961-01-06,7.3452464466510055,9.509676434065408
1961-01-14,6.953806980842018,7.230117192001303
1961-01-21,6.953806980842018,7.299194744791124
1961-01-28,50.58779449307918,7.943918570829458
1961-01-29,7.091962086421661,7.690634210600113
1961-01-30,6.999858682701899,15.450345973990046
1961-02-02,23.946884967138068,8.818900906167194
1961-02-12,16.118095650958317,19.019352868130817
1961-02-16,7.161039639211482,16.60163852048707
1961-02-18,7.4143239994408265,7.64458250874023
1961-02-21,7.8057634652498145,7.253143042931243
1961-02-23,7.022884533631839,15.473371824919989
1961-02-24,7.552479105020469,6.907755278982137
1961-02-27,7.230117192001303,7.04591038456178
1961-03-05,7.920892719899517,28.20666738917706
1961-03-06,7.483401552230648,29.726373550553134
1961-03-09,8.266280483848623,15.358242570270281
1961-03-12,16.970052135366117,14.460234384002604
1961-03-24,7.713660061530053,7.828789316179755
1961-03-25,8.312332185708504,7.161039639211482
1961-03-27,17.407543303034984,17.338465750245163
1961-04-01,15.266139166550523,14.022743216333737
1961-04-04,7.966944421759397,23.877807414348254
1961-04-08,8.266280483848623,7.460375701300709
1961-04-11,7.552479105020469,14.460234384002604
1961-04-28,9.878090048944456,16.394405862117605
1961-04-30,7.138013788281541,15.104958210040937
1961-05-01,7.713660061530053,22.473230507621885
1961-05-09,7.230117192001303,7.575504955950411
1961-05-11,7.667608359670172,8.197202931058802
1961-05-12,17.61477596140445,14.368130980282844
1961-05-24,8.266280483848623,7.3452464466510055
1961-05-28,9.785986645224693,7.207091341071363
1961-05-29,14.759570446091832,6.999858682701899
1961-05-30,7.299194744791124,8.03602197454922
1961-06-15,7.782737614319875,6.976832831771958
1961-06-17,7.184065490141422,7.091962086421661
1961-07-05,7.690634210600113,6.930781129912077
1961-07-11,7.460375701300709,8.795875055237254
1961-07-20,8.059047825479158,6.999858682701899
1961-07-22,8.51956484407797,39.535386046707764
1961-07-28,16.624664371417012,6.953806980842018
1961-08-06,7.736685912459993,8.358383887568387
1961-08-08,7.299194744791124,7.667608359670172
1961-08-13,14.460234384002606,8.703771651517492
1961-08-22,24.2462210292273,22.173894445532657
1961-08-23,34.86113830792985,17.338465750245163
1961-08-26,14.27602757656308,14.506286085862486
1961-09-01,9.371521328485766,23.117954333660215
1961-09-03,7.483401552230648,7.506427403160588
1961-09-05,8.404435589428266,7.368272297580948
1961-09-13,6.907755278982137,8.151151229198922
1961-09-15,9.670857390574993,7.782737614319875
1961-09-16,32.558553214935806,9.026133564536657
1961-09-17,29.49611504125372,7.276168893861184
1961-09-19,16.187173203748138,7.04591038456178
1961-09-20,9.855064198014514,19.31868893022004
1961-09-21,14.943777253531355,40.364316680185624
