time,mag
1998-01,58
1998-02,17
1998-03,50
1998-04,21
1998-05,10
1998-06,59
1998-07,53
1998-08,45
1998-09,23
1998-10,25
1998-11,20
1998-12,36
1999-01,38
1999-02,19
1999-03,25
1999-04,32
1999-05,106
1999-06,40
1999-07,34
1999-08,74
1999-09,29
1999-10,481
1999-11,72
1999-12,44
2000-01,30
2000-02,19
2000-03,39
2000-04,29
2000-05,28
2000-06,43
2000-07,17
2000-08,21
2000-09,33
2000-10,15
2000-11,12
2000-12,30
2001-01,11
2001-02,34
2001-03,20
2001-04,35
2001-05,21
2001-06,16
2001-07,68
2001-08,30
2001-09,18
2001-10,17
2001-11,17
2001-12,18
2002-01,43
2002-02,46
2002-03,27
2002-04,12
2002-05,21
2002-06,17
2002-07,12
2002-08,10
2002-09,25
2002-10,19
2002-11,19
2002-12,21
2003-01,21
2003-02,41
2003-03,16
2003-04,18
2003-05,23
2003-06,15
2003-07,10
2003-08,10
2003-09,13
2003-10,22
2003-11,20
2003-12,206
2004-01,58
2004-02,27
2004-03,26
2004-04,16
2004-05,21
2004-06,20
2004-07,26
2004-08,23
2004-09,77
2004-10,44
2004-11,23
2004-12,22
2005-01,15
2005-02,14
2005-03,12
2005-04,20
2005-05,34
2005-06,21
2005-07,16
2005-08,39
2005-09,47
2005-10,29
2005-11,16
2005-12,18
2006-01,22
2006-02,20
2006-03,32
2006-04,13
2006-05,33
2006-06,20
2006-07,15
2006-08,12
2006-09,14
2006-10,13
2006-11,31
2006-12,23
2007-01,22
2007-02,15
2007-03,18
2007-04,35
2007-05,16
2007-06,16
2007-07,10
2007-08,18
2007-09,25
2007-10,13
2007-11,11
2007-12,14
2008-01,6
2008-02,81
2008-03,17
2008-04,18
2008-05,23
2008-06,20
2008-07,20
2008-08,9
2008-09,18
2008-10,23
2008-11,33
2008-12,37
2009-01,27
2009-02,15
2009-03,26
2009-04,19
2009-05,20
2009-06,18
2009-07,11
2009-08,12
2009-09,20
2009-10,41
2009-11,40
2009-12,34
2010-01,31
2010-02,29
2010-03,41
2010-04,668
2010-05,129
2010-06,129
2010-07,45
2010-08,37
2010-09,27
2010-10,35
2010-11,20
2010-12,47
2011-01,29
2011-02,19
2011-03,26
2011-04,58
2011-05,32
2011-06,22
2011-07,20
2011-08,24
2011-09,17
2011-10,22
2011-11,20
2011-12,7
2012-01,17
2012-02,19
2012-03,15
2012-04,18
2012-05,18
2012-06,11
2012-07,23
2012-08,73
2012-09,16
2012-10,20
2012-11,12
2012-12,13
2013-01,16
2013-02,25
2013-03,18
2013-04,17
2013-05,21
2013-06,15
2013-07,13
2013-08,19
2013-09,15
2013-10,26
2013-11,10
2013-12,19
2014-01,25
2014-02,11
2014-03,25
2014-04,13
2014-05,12
2014-06,19
2014-07,27
2014-08,24
2014-09,22
2014-10,22
2014-11,9
2014-12,16
2015-01,12
2015-02,11
2015-03,9
2015-04,13
2015-05,33
2015-06,14
2015-07,10
2015-08,7
2015-09,10
2015-10,18
2015-11,8
2015-12,21
2016-01,16
2016-02,18
2016-03,15
2016-04,15
2016-05,10
2016-06,24
2016-07,20
2016-08,22
2016-09,33
2016-10,21
2016-11,5
2016-12,40
2017-01,22
2017-02,12
2017-03,17
2017-04,17
2017-05,15
2017-06,18
2017-07,18
2017-08,18
2017-09,15
2017-10,14
2017-11,13
2017-12,23
2018-01,14
2018-02,11
2018-03,12
2018-04,18
2018-05,20
2018-06,9
2018-07,9
2018-08,11
2018-09,11
2018-10,14
2018-11,21
2018-12,13
2019-01,22
2019-02,16
2019-03,5
2019-04,17
2019-05,12
2019-06,29
2019-07,1073
2019-08,46
2019-09,26
2019-10,25
2019-11,39
2019-12,25
2020-01,19
2020-02,20
2020-03,14
2020-04,57
2020-05,327
2020-06,116
2020-07,48
2020-08,40
2020-09,45
2020-10,80
2020-11,36
2020-12,70
2021-01,33
2021-02,37
2021-03,22
2021-04,28
2021-05,16
2021-06,69
2021-07,77
2021-08,29
2021-09,30
2021-10,22
2021-11,11
2021-12,12
2022-01,25
2022-02,21
2022-03,22
2022-04,16
2022-05,14
2022-06,19
2022-07,29
2022-08,13
2022-09,22
2022-10,18
2022-11,7
2022-12,12
